                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9529,                 7.0392,                 4.7048,                      0,                      0,                      0,                      0,                  5.011,                 6.2855,                 4.1586,                  8e-05,                  8e-05,                  8e-05
                      2,                 4.7719,                 6.4987,                 4.5531,                      0,                      0,                      0,                      0,                 5.0138,                 6.2894,                 4.1588,              0.0001206,              0.0001206,              0.0001206
                      3,                 4.4596,                 6.0933,                 4.4984,                      0,                      0,                      0,                      0,                 5.0186,                 6.2965,                   4.16,               9.52e-05,               9.52e-05,               9.52e-05
