                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0386,                 6.3152,                 4.5219,                      0,                      0,                      0,                      0,                 5.3979,                 7.7429,                  4.162,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.9224,                 5.4679,                 4.3051,                      0,                      0,                      0,                      0,                 5.3995,                 7.6971,                 4.1679,             0.00039228,             0.00039228,             0.00039228
                      3,                 3.8182,                 5.0907,                 4.1607,                      0,                      0,                      0,                      0,                 5.4025,                 7.4494,                 4.1817,             0.00055552,             0.00055552,             0.00055552
                      4,                 3.5236,                  4.625,                  3.963,                      0,                      0,                      0,                      0,                 5.3907,                 6.7691,                 4.1823,             0.00068972,             0.00068972,             0.00068972
                      5,                 3.5929,                 4.3548,                 3.7428,                      0,                      0,                      0,                      0,                 5.3925,                 6.2545,                 4.1924,             0.00079488,             0.00079488,             0.00079488
                      6,                 3.0484,                 4.5264,                 3.7127,                      0,                      0,                      0,                      0,                 5.3586,                 6.1557,                 4.1733,               0.000871,               0.000871,               0.000871
                      7,                 2.9932,                 4.3187,                 3.6404,                      0,                      0,                      0,                      0,                  5.354,                 6.2348,                 4.1779,             0.00091808,             0.00091808,             0.00091808
                      8,                 2.9206,                 3.9512,                 3.3706,                      0,                      0,                      0,                      0,                 5.3194,                 6.1219,                 4.1341,             0.00093612,             0.00093612,             0.00093612
                      9,                 2.7388,                 3.8596,                 3.2067,                      0,                      0,                      0,                      0,                 5.2591,                 5.9836,                 4.0563,             0.00092512,             0.00092512,             0.00092512
                     10,                  2.767,                 3.5987,                 3.1061,                      0,                      0,                      0,                      0,                 5.1825,                 5.5838,                 3.9696,               0.000812,               0.000812,               0.000812
                     11,                  2.608,                 3.4885,                 3.0441,                0.00042,                0.10526,                0.05527,                0.01664,                 4.6701,                 5.0308,                 3.7731,               0.000812,               0.000812,               0.000812
                     12,                  2.481,                 3.3193,                 2.9461,                0.00272,                0.31579,                0.08091,                0.03136,                  4.013,                 4.1509,                 3.5783,                0.00068,                0.00068,                0.00068
                     13,                 2.3708,                 3.1659,                 2.9325,                0.12456,                0.26316,                  0.084,                0.02501,                 3.6038,                 3.7422,                  3.382,               0.000548,               0.000548,               0.000548
                     14,                 2.2877,                 2.9988,                   2.87,                0.39247,                0.15789,                0.18439,                0.06387,                 3.0369,                 3.2094,                 3.1637,               0.000416,               0.000416,               0.000416
                     15,                 2.3124,                 2.9234,                 2.7975,                0.53031,                0.21053,                0.30052,                0.10254,                 2.8831,                  3.172,                 3.1934,               0.000284,               0.000284,               0.000284
