                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0535,                 8.5646,                 4.6282,                      0,                      0,                      0,                      0,                 5.3991,                 7.7496,                 4.1626,                 0.0002,                 0.0002,                 0.0002
                      2,                 4.6741,                 6.9418,                 4.3403,                      0,                      0,                      0,                      0,                 5.4066,                 7.7366,                 4.1725,              0.0002814,              0.0002814,              0.0002814
                      3,                 4.5654,                 6.3365,                 4.1531,                      0,                      0,                      0,                      0,                 5.4185,                  7.698,                 4.1898,              0.0002176,              0.0002176,              0.0002176
