                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0386,                 6.3152,                 4.5219,                      0,                      0,                      0,                      0,                 5.3979,                 7.7429,                  4.162,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.8983,                 5.4977,                 4.3253,                      0,                      0,                      0,                      0,                    5.4,                 7.7182,                 4.1676,              0.0002814,              0.0002814,              0.0002814
                      3,                 3.8514,                 5.2813,                 4.1941,                      0,                      0,                      0,                      0,                 5.4034,                 7.6486,                 4.1779,              0.0002176,              0.0002176,              0.0002176
